no,ra,dec,U,B,V,Teff,Mv,SpecType ,
135,78.63446708,-8.201638333,-0.56,0.1,0.13,10515.5617,-6.982541006,b'B8Iae',
118,88.79293875,7.407063889,4.38,2.27,0.42,3333.196587,-5.498793513,b'M1-M2Ia-Iab',
40,81.28276333,6.349703056,0.54,1.42,1.64,14086.90762,-2.803687446,b'B2V',
192,84.05338875,-1.201918889,0.48,1.51,1.69,13121.15542,-7.222580222,b'B0Ia',
142,85.18969417,-1.942573333,0.5,1.56,1.77,13830.71005,-4.997981388,b'O9.7Ib+B0III',
143,85.18969417,-1.942573333,0.5,1.56,1.77,13830.71005,-4.997981388,b'O9.7Ib+B0III',
129,86.93912,-9.669604722,0.87,1.88,2.06,13121.15276,-4.427847375,b'B0.5Ia',
154,83.00166667,-0.299095,0.96,2.02,2.41,21040.79718,-4.224895379,b'B0III+O9V',
156,83.00166667,-0.299095,0.96,2.02,2.41,21040.79718,-4.224895379,b'B0III+O9V',
190,83.85825792,-5.909900833,1.45,2.53,2.77,14632.83544,-6.499359841,b'O9IIIvar',
2,72.46004542,6.961274444,3.62,3.63,3.19,6674.161239,3.656057516,b'F6V',
152,81.11923625,-2.3971475,2.25,3.18,3.35,12902.39001,-4.031267761,b'B1V+B2:',
103,79.40161875,-6.844408333,3.01,3.47,3.59,11920.4953,-2.312280408,b'B5III',
165,83.78449,9.934155833,2.45,3.48,3.66,13121.15542,-3.976217668,b'O8IIIf+B0.5V',
166,83.78449,9.934155833,2.45,3.48,3.66,13121.15542,-3.976217668,b'O8IIIf+B0.5V',
186,72.80151958,5.605103333,2.7,3.5,3.68,13121.15542,-3.863191464,b'B2III',
193,73.56290417,2.440671389,2.72,3.54,3.73,13348.43409,-3.681052422,b'B2III',
176,84.68652208,-2.600078611,2.54,3.58,3.79,13830.71005,-3.79563212,b'O9.5V',
27,74.09281625,13.51446861,6.31,5.21,4.06,4409.233836,0.347240791,b'K2-IIIb',
11,84.22661875,9.290671111,5.7,5.04,4.09,4866.084868,1.377305239,b'G9.5IIIbFe-2.5',
29,80.98678167,-7.808064722,5.78,5.08,4.12,4840.875346,0.702996396,b'G8+III',
18,90.59581917,9.647272778,4.4,4.29,4.13,8486.085797,0.746260615,b'A1Vm+F2V',
46,82.69604542,5.948136667,3.51,4.07,4.2,12103.29467,-0.638921674,b'B5IV+B7V',
35,72.65301208,8.900180278,4.39,4.36,4.35,10002.18574,0.161327976,b'A1Vn',
97,91.89302417,14.76847389,3.6,4.24,4.397,12629.94253,-1.599414773,b'B3V',
3,88.59576208,20.27617278,5.08,5,4.4,5967.543824,4.711593574,b'G0V',
164,83.70515833,9.489579722,3.29,4.26,4.41,12488.50324,-3.204393879,b'B0III',
62,78.32283375,2.861263056,6.76,5.63,4.44,4328.442301,-0.712920381,b'K1III',
159,74.6370925,1.714013333,--,5.853,4.459,3960.237155,-2.419950493,b'K2-IIb',
113,92.98498708,14.20876528,3.65,4.31,4.48,12902.39513,-1.870128552,b'B3IV',
77,90.01395667,-3.074258333,6.95,5.74,4.52,4269.855729,-0.527928324,b'K1.5III-IIIbCN-1',
137,83.8465175,-4.838357778,3.46,4.4,4.59,13348.43409,-2.574868017,b'B1V',
213,84.79644292,4.121466389,3.73,4.48,4.59,11743.77545,-3.545439833,b'B3Ve',
199,81.70928875,3.095672778,3.45,4.398,4.611,13906.47006,-3.007523387,b'B2IV',
