MJD,RA,Dec
57389,13.826095,-9.67751
57390,13.86114,-9.87232
57391,13.896138,-10.06576
57392,13.931087,-10.2578
57393,13.965984,-10.44843
57394,14.000827,-10.63761
57395,14.035614,-10.82533
57396,14.070343,-11.01158
57397,14.105012,-11.19633
57398,14.139617,-11.37957
57399,14.174157,-11.56127
57400,14.208631,-11.74142
57401,14.243034,-11.92001
57402,14.277367,-12.09703
57403,14.311628,-12.27246
57404,14.345814,-12.44628
57405,14.379924,-12.6185
57406,14.413957,-12.7891
57407,14.447911,-12.95806
57408,14.481784,-13.12539
57409,14.515574,-13.29108
57410,14.549279,-13.4551
57411,14.582896,-13.61746
57412,14.616422,-13.77814
57413,14.649854,-13.93714
57414,14.683189,-14.09444
57415,14.716423,-14.25003
57416,14.749552,-14.40391
57417,14.782572,-14.55605
57418,14.815478,-14.70647
57419,14.848267,-14.85513
57420,14.880933,-15.00204
57421,14.913471,-15.14718
57422,14.945877,-15.29055
57423,14.978146,-15.43214
57424,15.010271,-15.57194
57425,15.042248,-15.70994
57426,15.07407,-15.84614
57427,15.105734,-15.98053
57428,15.137233,-16.11311
57429,15.168563,-16.24387
57430,15.199718,-16.37282
57431,15.230694,-16.49995
57432,15.261487,-16.62528
57433,15.292091,-16.74879
57434,15.322503,-16.8705
57435,15.352717,-16.99042
57436,15.382729,-17.10855
57437,15.412532,-17.22488
57438,15.442122,-17.33945
57439,15.471492,-17.45223
57440,15.500636,-17.56326
57441,15.529547,-17.67252
57442,15.558217,-17.78003
57443,15.58664,-17.8858
57444,15.614807,-17.98983
57445,15.64271,-18.09213
57446,15.670341,-18.1927
57447,15.69769,-18.29156
57448,15.724749,-18.3887
57449,15.751507,-18.48415
57450,15.777956,-18.57791
57451,15.804085,-18.66999
57452,15.829884,-18.76039
57453,15.855342,-18.84913
57454,15.880449,-18.93623
57455,15.905195,-19.02168
57456,15.929569,-19.1055
57457,15.953561,-19.18772
57458,15.977161,-19.26833
57459,16.000359,-19.34737
57460,16.023146,-19.42485
57461,16.045514,-19.5008
57462,16.067452,-19.57522
57463,16.08895,-19.64816
57464,16.109999,-19.71962
57465,16.130588,-19.78963
57466,16.150706,-19.85822
57467,16.170342,-19.9254
57468,16.189483,-19.99119
57469,16.208118,-20.05563
57470,16.226233,-20.11872
57471,16.243816,-20.18049
57472,16.260852,-20.24097
57473,16.277327,-20.30015
57474,16.293227,-20.35808
57475,16.308538,-20.41475
57476,16.323243,-20.4702
57477,16.337329,-20.52442
57478,16.350778,-20.57745
57479,16.363575,-20.62929
